,date,positive,neutral,negative,news_count,finbert_sentiment,avg_sentiment,fear_greed_index,fear_greed_label
0,2018-02-01,,,,,,,30,Fear
1,2018-02-02,,,,,,,15,Extreme Fear
2,2018-02-03,,,,,,,40,Fear
3,2018-02-04,,,,,,,24,Extreme Fear
4,2018-02-05,,,,,,,11,Extreme Fear
5,2018-02-06,,,,,,,8,Extreme Fear
6,2018-02-07,,,,,,,36,Fear
7,2018-02-08,,,,,,,30,Fear
8,2018-02-09,,,,,,,44,Fear
9,2018-02-10,,,,,,,54,Neutral
10,2018-02-11,,,,,,,31,Fear
11,2018-02-12,,,,,,,42,Fear
12,2018-02-13,,,,,,,35,Fear
13,2018-02-14,,,,,,,55,Greed
14,2018-02-15,,,,,,,71,Greed
15,2018-02-16,,,,,,,67,Greed
16,2018-02-17,,,,,,,74,Greed
17,2018-02-18,,,,,,,63,Greed
18,2018-02-19,,,,,,,67,Greed
19,2018-02-20,,,,,,,74,Greed
20,2018-02-21,,,,,,,54,Neutral
21,2018-02-22,,,,,,,44,Fear
22,2018-02-23,,,,,,,39,Fear
23,2018-02-24,,,,,,,31,Fear
24,2018-02-25,,,,,,,33,Fear
25,2018-02-26,,,,,,,37,Fear
26,2018-02-27,,,,,,,44,Fear
27,2018-02-28,,,,,,,41,Fear
28,2018-03-01,,,,,,,38,Fear
29,2018-03-02,,,,,,,47,Neutral
30,2018-03-03,,,,,,,56,Greed
31,2018-03-04,,,,,,,44,Fear
32,2018-03-05,,,,,,,55,Greed
33,2018-03-06,,,,,,,59,Greed
34,2018-03-07,,,,,,,37,Fear
35,2018-03-08,,,,,,,39,Fear
36,2018-03-09,,,,,,,37,Fear
37,2018-03-10,,,,,,,39,Fear
38,2018-03-11,,,,,,,40,Fear
39,2018-03-12,,,,,,,41,Fear
40,2018-03-13,,,,,,,41,Fear
41,2018-03-14,,,,,,,40,Fear
42,2018-03-15,,,,,,,32,Fear
43,2018-03-16,,,,,,,33,Fear
44,2018-03-17,,,,,,,31,Fear
45,2018-03-18,,,,,,,29,Fear
46,2018-03-19,,,,,,,29,Fear
47,2018-03-20,,,,,,,37,Fear
48,2018-03-21,,,,,,,36,Fear
49,2018-03-22,,,,,,,36,Fear
50,2018-03-23,,,,,,,28,Fear
51,2018-03-24,,,,,,,32,Fear
52,2018-03-25,,,,,,,30,Fear
53,2018-03-26,,,,,,,31,Fear
54,2018-03-27,,,,,,,24,Extreme Fear
55,2018-03-28,,,,,,,24,Extreme Fear
56,2018-03-29,,,,,,,18,Extreme Fear
57,2018-03-30,,,,,,,12,Extreme Fear
58,2018-03-31,,,,,,,16,Extreme Fear
59,2018-04-01,,,,,,,16,Extreme Fear
60,2018-04-02,,,,,,,11,Extreme Fear
